Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
KERLINK,FR0013156007,ALKLK,Euronext Growth Paris,EUR,1.83,1.83,1.775,1.83,28/05/2019 17:35,CET,3552,6387.87
KERRY GROUP PLC,IE0004906560,KRZ,Euronext Dublin,EUR,103.2,104.2,102.2,104.2,28/05/2019 15:31,UTC,395970,41173302.02
KEYRUS,FR0004029411,KEY,Euronext Paris,EUR,4.63,4.64,4.55,4.55,28/05/2019 17:29,CET,7145,32781.54
KEYWARE TECH.,BE0003880979,KEYW,Euronext Brussels,EUR,0.99,0.99,0.99,0.99,24/05/2019 10:01,CET,750,742.5
KIADIS,NL0011323407,KDS,"Euronext Amsterdam, Brussels",EUR,9.64,10,9.64,10,28/05/2019 17:35,CET,215200,2127488
KINEPOLIS GROUP,BE0974274061,KIN,Euronext Brussels,EUR,51,51.2,50.7,51,28/05/2019 17:35,CET,16643,848769
KINGSPAN GROUP PLC,IE0004927939,KRX,Euronext Dublin,EUR,44.76,44.96,44.7,44.84,28/05/2019 15:31,UTC,1778452,79744536.5
KKO INT WARRANT A,FR0013381951,KKOWA,"Euronext Growth Paris, Brussels",EUR,0.0005,0.0005,0.0005,0.0005,20/05/2019 09:00,CET,150,0.08
KKO INTERNATIONAL,FR0013374667,ALKKO,"Euronext Growth Paris, Brussels",EUR,0.0946,0.1,0.0834,0.09,28/05/2019 17:26,CET,2351385,217014.85
KLEPIERRE,FR0000121964,LI,Euronext Paris,EUR,30.79,31.18,30.77,31.02,28/05/2019 17:35,CET,1305518,40498072.61
KORIAN,FR0010386334,KORI,Euronext Paris,EUR,35.5,35.56,35.16,35.38,28/05/2019 17:35,CET,100535,3558854.72
KPN KON,NL0000009082,KPN,Euronext Amsterdam,EUR,2.728,2.739,2.695,2.73,28/05/2019 17:35,CET,27261440,74351172.39
KRIEF GROUP,FR0004152700,MLKRI,Euronext Access Paris,EUR,1.17,1.17,1.17,1.17,21/05/2019 16:30,CET,10,11.7
KUMULUS VAPE,FR0013419876,MLVAP,Euronext Access Paris,EUR,2.12,2.12,2.12,2.12,28/05/2019 16:55,CET,65000,137800
L'OREAL,FR0000120321,OR,Euronext Paris,EUR,244.1,245.1,241.7,243.5,28/05/2019 17:35,CET,537212,130799022.7
LA FONCIERE VERTE,FR0000039638,LFVE,Euronext Paris,EUR,57,57,57,57,07/03/2018 11:30,CET,1,57
LACROIX SA,FR0000066607,LACR,Euronext Paris,EUR,23.5,23.8,23.5,23.5,28/05/2019 17:14,CET,190,4483.5
LAFARGEHOLCIM LTD,CH0012214059,LHN,Euronext Paris,EUR,44.39,44.69,44.15,44.15,28/05/2019 17:35,CET,30362,1349035.2
LAFUMA,FR0000035263,LAF,Euronext Paris,EUR,20.6,20.8,20.6,20.8,27/05/2019 16:30,CET,151,3136.6
LAGARDERE S.C.A.,FR0000130213,MMB,Euronext Paris,EUR,21.64,21.74,21.46,21.46,28/05/2019 17:35,CET,1444715,31028607.18
LANSON-BCC,FR0004027068,LAN,Euronext Paris,EUR,29,29.2,29,29.2,28/05/2019 10:59,CET,278,8107.2
LATECOERE,FR0000032278,LAT,Euronext Paris,EUR,2.785,2.865,2.77,2.82,28/05/2019 17:35,CET,190485,536748.43
LAURENT-PERRIER,FR0006864484,LPE,Euronext Paris,EUR,93.8,94.2,93.4,94.2,28/05/2019 17:35,CET,60,5638
LAVIDE HOLDING,NL0010545679,LVIDE,Euronext Amsterdam,EUR,0.39,0.39,0.332,0.382,28/05/2019 17:06,CET,13082,4597.1
LDC,FR0013204336,LOUP,Euronext Paris,EUR,115,116,114.5,115,28/05/2019 17:35,CET,843,96987.5
LE TANNEUR,FR0000075673,LTAN,Euronext Paris,EUR,3.1,3.1,3.1,3.1,27/05/2019 11:30,CET,20,62
LEASINVEST,BE0003770840,LEAS,Euronext Brussels,EUR,101,103,101,102,28/05/2019 17:35,CET,889,90635.5
LEBON,FR0000121295,LBON,Euronext Paris,EUR,137.5,139.5,137.5,137.5,28/05/2019 17:29,CET,168,23229.5
LECTRA,FR0000065484,LSS,Euronext Paris,EUR,21.6,21.95,21.4,21.85,28/05/2019 17:35,CET,11473,248671.7
LEGRAND,FR0010307819,LR,Euronext Paris,EUR,61.6,62.16,61.36,61.96,28/05/2019 17:35,CET,588178,36397239.04
LES HOTELS BAVEREZ,FR0007080254,ALLHB,Euronext Growth Paris,EUR,65,65,65,65,23/05/2019 16:30,CET,30,1950
LESNXCONSTRUCTEURS,FR0004023208,LNC,Euronext Paris,EUR,38.2,38.2,37.5,37.8,28/05/2019 16:07,CET,982,37314.6
LEXIBOOK LINGUIST.,FR0000033599,ALLEX,Euronext Growth Paris,EUR,0.69,0.698,0.65,0.698,23/05/2019 10:29,CET,1239,829.83
LILLY AND CO,US5324571083,LLY,Euronext Paris,EUR,102,102,102,102,07/05/2019 15:40,CET,13,1326
LINEDATA SERVICES,FR0004156297,LIN,Euronext Paris,EUR,28.3,28.8,28.2,28.4,28/05/2019 17:35,CET,7137,202851.3
LISGRAFICA,PTLIG0AE0002,LIG,Euronext Lisbon,EUR,0.0075,0.0075,0.0075,0.0075,27/05/2019 15:30,BST,1000,7.5
LISI,FR0000050353,FII,Euronext Paris,EUR,28.2,28.4,27.05,27.75,28/05/2019 17:35,CET,14125,390682.75
LITHO FORMAS,PTLIT0AE0005,LIT,Euronext Access Lisbon,EUR,0.214,0.214,0.214,0.214,03/04/2019 15:30,BST,50,10.7
LLEIDA,ES0105089009,ALLLN,Euronext Growth Paris,EUR,1.06,1.06,1.06,1.06,28/05/2019 11:30,CET,1,1.06
LNA SANTE,FR0004170017,LNA,Euronext Paris,EUR,44.7,45,44.05,45,28/05/2019 17:35,CET,6707,300231.3
LOCASYSTEM INTL,FR0004155208,MLLOI,Euronext Access Paris,EUR,3.5,3.5,3.5,3.5,25/08/2017 11:30,CET,1,3.5
LOGIC INSTRUMENT,FR0000044943,ALLOG,Euronext Growth Paris,EUR,0.594,0.6,0.576,0.598,28/05/2019 16:11,CET,13604,7958.72
LOGIS CONFORT,ES0105333001,MLLOG,Euronext Access Paris,EUR,-,-,-,-,-,-,-,-
LOMBARD ET MEDOT,FR0006205019,MLCAC,Euronext Access Paris,EUR,13.4,13.4,13.4,13.4,17/05/2019 11:30,CET,120,1608
LOTUS BAKERIES,BE0003604155,LOTB,Euronext Brussels,EUR,2380,2390,2340,2340,28/05/2019 17:35,CET,270,638640
LUCASBOLS,NL0010998878,BOLS,Euronext Amsterdam,EUR,14.9,14.9,14.75,14.85,28/05/2019 17:11,CET,4369,64829.7
LUCIBEL,FR0011884378,ALUCI,Euronext Growth Paris,EUR,0.9,0.916,0.9,0.9,28/05/2019 17:29,CET,340,306.64
LUMIBIRD,FR0000038242,LBIRD,Euronext Paris,EUR,17.14,17.14,16.9,16.9,28/05/2019 17:35,CET,28364,481491.36
LUX-AIRPORT CERT,LU0092846210,LUXA,Euronext Brussels,EUR,230,230,230,230,28/05/2019 11:30,CET,15,3450
LV4S,BE6201089735,MLV4S,Euronext Access Paris,EUR,2.1,2.1,2.1,2.1,21/05/2019 16:30,CET,175,367.5
LVMH,FR0000121014,MC,Euronext Paris,EUR,339.65,342.6,336.65,342.6,28/05/2019 17:38,CET,917832,313368405.5
LYSOGENE,FR0013233475,LYS,Euronext Paris,EUR,1.84,2.02,1.84,1.91,28/05/2019 17:00,CET,12488,24227.32
M.R.M,FR0000060196,MRM,Euronext Paris,EUR,1.42,1.42,1.42,1.42,28/05/2019 13:36,CET,596,846.32
M2I,FR0013270626,ALMII,Euronext Growth Paris,EUR,6,6.1,5.85,6,28/05/2019 17:29,CET,5369,31918.85
MADE,FR0010328302,MLMAD,Euronext Access Paris,EUR,5,5,5,5,10/05/2019 11:30,CET,60,300
MADVERTISE,FR0010812230,ALMNG,Euronext Growth Paris,EUR,0.421,0.421,0.407,0.41,28/05/2019 16:06,CET,5001,2048.43
MAGILLEM,FR0010827741,MLMGL,Euronext Access Paris,EUR,14,14,14,14,28/05/2019 11:30,CET,5,70
MAINSTAY MED. INT.,IE00BJYS1G50,MSTY1,Euronext Growth Dublin,EUR,3.82,3.82,3.82,3.82,22/03/2019 08:43,UTC,1500,5730
MAINSTAY MEDICAL,IE00BJYS1G50,MSTY,Euronext Paris,EUR,3.52,3.52,3.52,3.52,23/05/2019 17:35,CET,282,992.64
MAIS.ANTOINE BAUD,FR0000061657,MLMAB,Euronext Access Paris,EUR,118,118,118,118,23/04/2019 11:30,CET,80,9440
MAISON CLIO BLUE,FR0011092089,MLCLI,Euronext Access Paris,EUR,1.92,1.92,1.92,1.92,12/02/2019 16:30,CET,1055,2025.6
MAISONS D''AUJOURD,FR0010515742,MLMAI,Euronext Access Paris,EUR,0.302,0.302,0.302,0.302,20/05/2019 16:30,CET,180,54.36
MAISONS DU MONDE,FR0013153541,MDM,Euronext Paris,EUR,18.28,18.59,17.96,18.02,28/05/2019 17:35,CET,163372,2978696.05
MAKHEIA BSA,FR0013356656,MAKBS,Euronext Growth Paris,EUR,0.003,0.003,0.0005,0.0005,27/05/2019 12:02,CET,2000,3.5
MAKHEIA BSA 2019,FR0013419694,MAKBT,Euronext Growth Paris,EUR,0.001,0.001,0.001,0.001,28/05/2019 14:30,CET,255,0.25
MAKHEIA GROUP,FR0000072993,ALMAK,Euronext Growth Paris,EUR,1.28,1.28,1.24,1.24,28/05/2019 17:29,CET,8766,10962.88
MALIN CORP. PLC,IE00BVGC3741,MLC,Euronext Growth Dublin,EUR,5.1,5.3,5.1,5.3,27/05/2019 08:23,UTC,800,4081.2
MALTERIES FCO-BEL.,FR0000030074,MALT,Euronext Paris,EUR,625,625,625,625,23/05/2019 16:30,CET,19,11875
MANITOU BF,FR0000038606,MTU,Euronext Paris,EUR,24.5,25.55,24.5,25.55,28/05/2019 17:35,CET,43581,1106460.2
MANUTAN INTL,FR0000032302,MAN,Euronext Paris,EUR,61.2,62.4,60,60,28/05/2019 16:51,CET,1308,79143.4
MARATHON OIL CORP,US5658491064,MROIL,Traded not listed Brussels,USD,59,-,-,59,03/11/2005 00:00,CET,-,-
MAROC TELECOM,MA0000011488,IAM,Euronext Paris,EUR,12.9,13,12.9,12.9,28/05/2019 17:23,CET,1069,13818.9
MARTIFER,PTMFR0AM0003,MAR,Euronext Lisbon,EUR,0.46,0.478,0.46,0.478,28/05/2019 21:35,BST,153,70.49
MASTRAD,FR0004155687,ALMAS,Euronext Growth Paris,EUR,0.5,0.5,0.5,0.5,28/05/2019 17:35,CET,4500,2250
MAUNA KEA TECH,FR0010609263,MKEA,Euronext Paris,EUR,1.502,1.518,1.49,1.49,28/05/2019 17:35,CET,55690,83377.45
MAUREL ET PROM,FR0000051070,MAU,Euronext Paris,EUR,3.005,3.035,2.965,2.98,28/05/2019 17:35,CET,163641,489703.09
MBWS,FR0000060873,MBWS,Euronext Paris,EUR,2.25,2.3,2.1,2.16,28/05/2019 17:35,CET,71514,156048.78
MBWS BSA 2022,FR0013404944,MBWBT,Euronext Paris,EUR,0.189,0.2,0.16,0.16,28/05/2019 17:35,CET,30208,5011.7
MBWS BSAR 2023,FR0013066313,MBWSZ,Euronext Paris,EUR,1.2,1.2,1.2,1.2,21/12/2018 11:35,CET,2951,3541.2
MCPHY ENERGY,FR0011742329,MCPHY,Euronext Paris,EUR,4.75,4.9,4.735,4.85,28/05/2019 17:10,CET,15969,77053.25
MDXHEALTH,BE0003844611,MDXH,Euronext Brussels,EUR,1.282,1.29,1.262,1.29,28/05/2019 17:35,CET,58357,74799.94
MECELEC BSA DEC19,FR0012057149,MCBS2,Euronext Growth Paris,EUR,0.02,0.02,0.02,0.02,20/05/2019 09:40,CET,2000,40
MECELEC COMPOSITES,FR0000061244,ALMEC,Euronext Growth Paris,EUR,1.94,1.95,1.93,1.93,28/05/2019 17:35,CET,506,979.42
MEDIA 6,FR0000064404,EDI,Euronext Paris,EUR,11.1,11.1,11.1,11.1,28/05/2019 09:25,CET,61,677.1
MEDIA CAPITAL,PTGMC0AM0003,MCP,Euronext Lisbon,EUR,2.56,2.56,2.32,2.32,05/04/2019 20:30,BST,3380,7932.8
MEDIA LAB,IT0005324105,MLLAB,Euronext Access Paris,EUR,1.8,1.8,1.8,1.8,22/05/2019 11:30,CET,7223,13001.4
MEDIAN TECH NV19,FR0013390697,MDTNV,Euronext Growth Paris,EUR,-,-,-,-,-,-,-,-
MEDIANTECHNOLOGIES,FR0011049824,ALMDT,Euronext Growth Paris,EUR,1.03,1.33,1.01,1.26,28/05/2019 17:25,CET,158774,187237.41
MEDIAWAN,FR0013247137,MDW,Euronext Paris,EUR,11.62,12.22,11.62,11.82,28/05/2019 17:35,CET,30748,367110.16
MEDIAWAN WAR,FR0013128907,MDWBS,Euronext Paris,EUR,1.01,1.01,0.92,1.01,24/05/2019 17:22,CET,14201,13535.27
MEDICREA INTERNAT.,FR0004178572,ALMED,Euronext Growth Paris,EUR,2.97,3.08,2.96,2.96,28/05/2019 17:35,CET,19801,59870.58
MEDINCELL,FR0004065605,MEDCL,Euronext Paris,EUR,7,7,7,7,28/05/2019 09:00,CET,300,2100
MEDIOCREDITO EUROP,IT0004844848,MLMCE,Euronext Access Paris,EUR,4.3,4.3,4.3,4.3,28/11/2012 10:24,CET,100,430
MELEXIS,BE0165385973,MELE,Euronext Brussels,EUR,62.75,64.1,62.4,62.9,28/05/2019 17:35,CET,47422,2989593.4
MEMSCAP REGPT,FR0010298620,MEMS,Euronext Paris,EUR,1.98,1.98,1.98,1.98,28/05/2019 09:00,CET,7001,13861.98
MERCIALYS,FR0010241638,MERY,Euronext Paris,EUR,11.23,11.25,11.04,11.15,28/05/2019 17:35,CET,173661,1935992.1
MERCK AND CO INC,US58933Y1055,MRK,Euronext Paris,EUR,72.5,72.5,72.5,72.5,28/05/2019 10:41,CET,120,8700
MERSEN,FR0000039620,MRN,Euronext Paris,EUR,29.8,29.95,29.4,29.5,28/05/2019 17:35,CET,35720,1056308.45
MERSEN NV19,FR0013383544,MRNNV,Euronext Paris,EUR,26.4,26.4,26.4,26.4,11/02/2019 11:30,CET,5391,142322.4
METABOLIC EXPLORER,FR0004177046,METEX,Euronext Paris,EUR,1.63,1.65,1.614,1.614,28/05/2019 17:35,CET,12232,19820.73
METALLIANCE,FR0010492181,MLETA,Euronext Access Paris,EUR,9.45,9.45,9.45,9.45,28/05/2019 11:30,CET,110,1039.5
METHANOR,FR0011217710,ALMET,Euronext Growth Paris,EUR,5,5,5,5,28/05/2019 09:00,CET,40,200
METHORIOS CAPITAL,IT0004615396,ALMTH,Euronext Growth Paris,EUR,0.03,0.03,0.03,0.03,03/10/2016 09:00,CET,1,0.03
METRICS IN BALANCE,BE0974328602,MLMIB,Euronext Access Paris,EUR,7.5,7.5,7.5,7.5,15/05/2019 11:30,CET,10,75
METROPOLE TV,FR0000053225,MMT,Euronext Paris,EUR,16.19,16.21,15.84,15.84,28/05/2019 17:35,CET,139928,2229942.8
MG INTERNATIONAL,FR0010204453,ALMGI,Euronext Growth Paris,EUR,2.94,2.94,2.94,2.94,28/05/2019 11:30,CET,600,1764
MGI DIGITAL GRAPHI,FR0010353888,ALMDG,Euronext Growth Paris,EUR,40.4,40.75,40.2,40.6,28/05/2019 17:35,CET,1496,60582.65
MICHELIN,FR0000121261,ML,Euronext Paris,EUR,106.2,107.65,105.6,106.9,28/05/2019 17:35,CET,680101,72686464.6
MICROPOLE,FR0000077570,MUN,Euronext Paris,EUR,1.2,1.27,1.2,1.23,28/05/2019 17:29,CET,76556,95109
MICROSKIN,GB00BF553726,MLSKN,Euronext Access Paris,EUR,0.03,0.03,0.03,0.03,08/06/2017 15:00,CET,10000,300
MICROSOFT CORP SPL,US5949181045,MSF,Traded not listed Brussels,USD,136,136,126,126,27/05/2019 17:29,CET,74,8593.49
MICROWAVE VISION,FR0004058949,ALMIC,Euronext Growth Paris,EUR,15.2,15.2,14.95,15,28/05/2019 17:26,CET,2696,40628.55
MIGUET ET ASSOCIES,FR0010500363,MLNMA,Euronext Access Paris,EUR,3,3,3,3,27/05/2019 14:42,CET,1261,3783
MIKO,BE0003731453,MIKO,Euronext Brussels,EUR,116,116,116,116,28/05/2019 12:21,CET,176,20416
MILIBOO,FR0013053535,ALMLB,Euronext Growth Paris,EUR,2.86,2.86,2.62,2.72,28/05/2019 17:16,CET,33395,89304.54
MILLET INNOVATION,FR0010304402,ALINN,Euronext Growth Paris,EUR,17,17.8,17,17.8,13/05/2019 16:30,CET,321,5461
MINCON GROUP PLC,IE00BD64C665,MIO,Euronext Growth Dublin,EUR,1.22,1.22,1.17,1.2,28/05/2019 15:35,UTC,39252,47094.29
MITHRA,BE0974283153,MITRA,Euronext Brussels,EUR,24.76,26.64,24.68,26.44,28/05/2019 17:35,CET,111056,2882857.52
MKB Nedsense,NL0009312842,NEDSE,Euronext Amsterdam,EUR,0.18,0.18,0.18,0.18,28/05/2019 14:00,CET,57769,10398.42
MND,FR0011584549,ALMND,Euronext Growth Paris,EUR,0.89,0.89,0.863,0.864,28/05/2019 17:35,CET,19499,17042.09
MNR GROUP,FR0010976746,MLMNR,Euronext Access Paris,EUR,1.3,1.3,1.3,1.3,23/05/2018 12:27,CET,1400,1820
MONCEY (FIN.) NOM.,FR0000076986,MONC,Euronext Paris,EUR,5300,5300,5300,5300,28/05/2019 16:30,CET,2,10600
MONFINANCIER,FR0010882886,MLMON,Euronext Access Paris,EUR,0.57,0.57,0.57,0.57,02/05/2019 16:30,CET,1535,874.95
MONTEA C.V.A.,BE0003853703,MONT,"Euronext Brussels, Paris",EUR,80.1,80.1,78,78,28/05/2019 17:35,CET,30695,2398365.9
MONUMENTAL RES,PTMNN0AE0006,MLMR,Euronext Access Lisbon,EUR,-,-,-,-,-,-,-,-
MOPOLI,NL0000488153,MOP,Euronext Brussels,EUR,280,280,280,280,08/05/2019 16:30,CET,180,50400
MOPOLI FOND,NL0000488161,MOPF,Euronext Brussels,EUR,8000,8000,8000,8000,25/01/2019 16:30,CET,3,24000
MOREFIELD GROUP,CWN814651014,MORE,Euronext Amsterdam,EUR,0.316,0.316,0.316,0.316,28/05/2019 12:21,CET,1011,319.48
MOTA ENGIL,PTMEN0AE0005,EGL,Euronext Lisbon,EUR,2.128,2.152,2.108,2.108,28/05/2019 21:35,BST,889045,1881693.82
MOULINVEST,FR0011033083,ALMOU,Euronext Growth Paris,EUR,4.73,4.83,4.73,4.83,28/05/2019 16:20,CET,4742,22677.16
MOURY CONSTRUCT,BE0003602134,MOUR,Euronext Brussels,EUR,156,156,156,156,28/05/2019 17:17,CET,20,3120
MR BRICOLAGE,FR0004034320,MRB,Euronext Paris,EUR,4.7,4.77,4.7,4.77,28/05/2019 09:40,CET,239,1139.96
MTD FINANCE,FR0010518936,MLMTD,Euronext Access Paris,EUR,5.88,5.88,5.88,5.88,22/12/2015 15:00,CET,17,99.96
MULANN,FR0012990968,MLMUL,Euronext Access Paris,EUR,0.051,0.051,0.05,0.05,28/05/2019 16:30,CET,1103,56.25
MULTI24,PTMUS0AM0000,MLM24,Euronext Access Lisbon,EUR,-,-,-,-,-,-,-,-
MULTIMICROCLOUD,FR0013230067,MLMMC,Euronext Access Paris,EUR,0.57,0.57,0.57,0.57,28/05/2019 11:30,CET,100,57
MUNCHENER RUCKVERS,DE0008430026,MEURV,Traded not listed Brussels,EUR,219.1,219.1,219.1,219.1,22/05/2019 16:24,CET,6,1314.6
MUSEE GREVIN,FR0000037970,GREV,Euronext Paris,EUR,60.5,62,60.5,62,14/05/2019 16:30,CET,54,3295.5
MUTUALIZE CORP,FR0013222346,MLMUT,Euronext Access Paris,EUR,0.01,0.01,0.01,0.01,21/05/2019 11:30,CET,2956,29.56
MYBEST GROUP,IT0005119109,ALMBG,Euronext Growth Paris,EUR,4.6795,4.6795,4.6795,4.6795,27/09/2018 11:30,CET,1200,5615.4
NANOBIOTIX,FR0011341205,NANO,Euronext Paris,EUR,9.905,10.06,9.405,9.575,28/05/2019 17:35,CET,177394,1735963.8
NATIXIS,FR0000120685,KN,Euronext Paris,EUR,4.802,4.821,4.724,4.79,28/05/2019 17:35,CET,7060173,33739861.84
NATURE ET LOGIS,FR0013344223,MLNAT,Euronext Access Paris,EUR,10.2,10.2,10.2,10.2,23/05/2019 11:30,CET,100,1020
NAVYA,FR0013018041,NAVYA,Euronext Paris,EUR,1.29,1.3,1.26,1.3,28/05/2019 17:35,CET,13704,17637.78
NEDAP,NL0000371243,NEDAP,Euronext Amsterdam,EUR,47,47.5,46.9,47.4,28/05/2019 17:35,CET,2495,117794.3
NEOCOM MULTIMEDIA,FR0004157543,MLNEO,Euronext Access Paris,EUR,4,4,4,4,28/05/2019 11:30,CET,14,56
NEOEN,FR0011675362,NEOEN,Euronext Paris,EUR,20.45,20.7,20.15,20.7,28/05/2019 17:35,CET,22902,469533.25
NEOLIFE,FR0011636083,ALNLF,Euronext Growth Paris,EUR,0.121,0.121,0.115,0.118,28/05/2019 17:35,CET,34976,4126.96
NEOLIFE BS,FR0013282936,NLFBS,Euronext Growth Paris,EUR,0.0035,0.0035,0.0035,0.0035,28/05/2019 14:14,CET,1000,3.5
NEOLIFE BSA,FR0013356243,NLFBT,Euronext Growth Paris,EUR,0.003,0.0045,0.003,0.0045,28/05/2019 17:35,CET,6323,18.97
NEOLIFE BSA 2019,FR0013420247,NLFBU,Euronext Growth Paris,EUR,0.0152,0.0154,0.0102,0.0102,28/05/2019 16:34,CET,107720,1324.64
NEOPOST,FR0000120560,NEO,Euronext Paris,EUR,19.37,20.88,19.3,20.3,28/05/2019 17:38,CET,317922,6418326.52
NEOVACS,FR0004032746,ALNEV,Euronext Growth Paris,EUR,0.161,0.1648,0.161,0.161,28/05/2019 17:35,CET,331309,54053.99
NEOVACS BSA,FR0013275971,NEVBS,Euronext Growth Paris,EUR,-,-,-,-,-,-,-,-
NEPI ROCKCASTLE,IM00BDD7WV31,NRP,Euronext Amsterdam,EUR,7.3,7.3,7.3,7.3,24/05/2019 11:08,CET,456,3328.8
NETGEM,FR0004154060,NTG,Euronext Paris,EUR,0.892,0.91,0.882,0.91,28/05/2019 14:39,CET,6937,6292.83
NEUFCOUR-FIN.,BE0003680916,NEU,Euronext Brussels,EUR,12.6,12.6,12.6,12.6,11/04/2019 16:30,CET,500,6300
NEURONES,FR0004050250,NRO,Euronext Paris,EUR,22.2,22.5,22.2,22.5,28/05/2019 13:11,CET,6126,136662.9
NEW SOURCES ENERGY,NL0009822014,NSE,Euronext Amsterdam,EUR,0.14,0.14,0.14,0.14,28/05/2019 12:51,CET,6858,960.12
NEWAYS ELECTRONICS,NL0000440618,NEWAY,Euronext Amsterdam,EUR,13,13,12.9,13,28/05/2019 16:54,CET,1912,24845.9
NEWSINVEST,FR0010358507,MLNEI,Euronext Access Paris,EUR,1.49,1.49,1.49,1.49,28/05/2019 16:31,CET,1000,1490
NEWTREE,BE0003832491,NEWT,Euronext Access Brussels,EUR,1.05,1.05,1.05,1.05,24/05/2019 16:30,CET,180,189
NEXANS,FR0000044448,NEX,Euronext Paris,EUR,26.55,27.24,26.48,26.96,28/05/2019 17:35,CET,65539,1766837.71
NEXITY,FR0010112524,NXI,Euronext Paris,EUR,38.84,41.62,38.84,39.9,28/05/2019 17:35,CET,190066,7627893.92
NEXPONOR-SICAFI,PTNEX0AM0002,ALNOR,Euronext Growth Lisbon,EUR,0.3,0.3,0.3,0.3,13/07/2018 20:30,BST,99,29.7
NEXTEDIA,FR0004171346,ALNXT,Euronext Growth Paris,EUR,0.688,0.688,0.654,0.666,28/05/2019 17:35,CET,12061,8093.05
NEXTSTAGE,FR0012789386,NEXTS,Euronext Paris,EUR,98.5,98.5,98,98,28/05/2019 10:01,CET,121,11858.5
NIBC HOLDING,NL0012756316,NIBC,Euronext Amsterdam,EUR,8.16,8.17,8.07,8.11,28/05/2019 17:35,CET,130599,1059956.22
NICOX,FR0013018124,COX,Euronext Paris,EUR,4.92,4.92,4.765,4.82,28/05/2019 17:35,CET,15709,75855.55
NN GROUP,NL0010773842,NN,Euronext Amsterdam,EUR,36.26,36.31,35.92,36.12,28/05/2019 17:35,CET,1081896,39082402.62
NOKIA,FI0009000681,NOKIA,Euronext Paris,EUR,4.538,4.58,4.4905,4.506,28/05/2019 17:35,CET,269678,1218964.1
"NOS, SGPS",PTZON0AM0006,NOS,Euronext Lisbon,EUR,5.495,5.525,5.435,5.51,28/05/2019 21:35,BST,704865,3876227.4
"NOVABASE,SGPS",PTNBA0AM0006,NBA,Euronext Lisbon,EUR,2.43,2.43,2.39,2.4,28/05/2019 21:29,BST,17096,41237.9
NOVACYT,FR0010397232,ALNOV,Euronext Growth Paris,EUR,0.1178,0.119,0.1114,0.116,28/05/2019 15:55,CET,124224,14247.45
NOVADAY,FR0011421817,MLLED,Euronext Access Paris,EUR,0.15,0.15,0.15,0.15,07/09/2018 16:30,CET,1,0.15
NOVATECH IND.,FR0000185464,MLNOV,Euronext Access Paris,EUR,6.2,6.2,6.2,6.2,22/05/2019 16:44,CET,630,3906
NOVISOURCE,NL0010696704,NOVI,Euronext Amsterdam,EUR,1.22,1.22,1.22,1.22,28/05/2019 09:00,CET,1,1.22
NOXXON,NL0012044762,ALNOX,Euronext Growth Paris,EUR,0.773,0.773,0.746,0.767,28/05/2019 15:58,CET,13286,10044.26
NR21,FR0004166155,NR21,Euronext Paris,EUR,0.84,0.84,0.84,0.84,18/04/2019 16:30,CET,1000,840
NRJ GROUP,FR0000121691,NRG,Euronext Paris,EUR,6.42,6.48,6.3,6.32,28/05/2019 17:35,CET,30346,192202.11
NSC GROUPE,FR0000064529,ALNSC,Euronext Growth Paris,EUR,86.5,86.5,86.5,86.5,16/05/2019 11:30,CET,1,86.5
NSE,FR0004065639,ALNSE,Euronext Growth Paris,EUR,9.1,9.1,9,9,28/05/2019 15:31,CET,501,4509.1
NSI N.V.,NL0012365084,NSI,Euronext Amsterdam,EUR,35.95,36.15,35.7,36.15,28/05/2019 17:35,CET,19995,721429.4
NYRSTAR,BE0974294267,NYR,Euronext Brussels,EUR,0.2106,0.2124,0.21,0.2102,28/05/2019 17:35,CET,442816,93136.42
O SORBET D'AMOUR,FR0013072741,MLOSA,Euronext Access Paris,EUR,6,6,6,6,17/05/2019 11:30,CET,47,282
O2I,FR0010231860,ALODI,Euronext Growth Paris,EUR,1.05,1.06,1.05,1.06,28/05/2019 17:22,CET,3137,3307.62
O2I BSA,FR0013268042,O2IBS,Euronext Growth Paris,EUR,0.121,0.121,0.121,0.121,30/04/2019 17:16,CET,200,24.2
O2I BSA 2,FR0013381431,ODBS2,Euronext Growth Paris,EUR,0.026,0.026,0.026,0.026,23/05/2019 11:03,CET,250,6.5
OBER,FR0010330613,ALOBR,Euronext Growth Paris,EUR,10.8,10.8,10.8,10.8,28/05/2019 11:30,CET,1,10.8
OCCIDENTAL PETROL.,US6745991058,OCPET,Traded not listed Brussels,USD,73,73,73,73,22/04/2016 16:30,CET,37,2701
OCEASOFT,FR0012407096,ALOCA,Euronext Growth Paris,EUR,1.15,1.15,1.15,1.15,28/05/2019 09:00,CET,1,1.15
OCI,NL0010558797,OCI,Euronext Amsterdam,EUR,22.35,22.48,21.69,21.71,28/05/2019 17:36,CET,629564,13766052.47
OCTOPUS ROBOTS,FR0013310281,MLOCT,Euronext Access Paris,EUR,5.6,5.6,5.6,5.6,28/05/2019 16:30,CET,9,50.4
OENEO,FR0000052680,SBT,Euronext Paris,EUR,10.22,10.3,10.16,10.3,28/05/2019 17:35,CET,21517,221050.16
OFFICIIS PROPERTIE,FR0010298901,OFP,Euronext Paris,EUR,1.17,1.17,1.15,1.15,28/05/2019 15:36,CET,2034,2354.1
